./INPUTFILES/DASS/, 55, F, , , , 

vowel	stress	word	norm_F1	norm_F2	t	beg	end	dur	cd	fm	fp	fv	ps	fs	style	glide	norm_F1@20%	norm_F2@20%	norm_F1@35%	norm_F2@35%	norm_F1@50%	norm_F2@50%	norm_F1@65%	norm_F2@65%	norm_F1@80%	norm_F2@80%	nFormants	oFormants
AE	1	that	840.0	1442.0	1.044	0.968	1.12	0.152	3	1	4	1	3	0			769.0	1618.0	825.0	1491.0	840.0	1442.0	871.0	1411.0	856.0	1471.0	6	5	
UW	1	tooth	455.0	1177.0	5.955	5.887	6.023	0.136	73	3	3	1	3	0			464.0	1574.0	464.0	1360.0	455.0	1177.0	442.0	1195.0	406.0	1305.0	7	5	
EH	1	better	766.0	1657.0	7.653	7.624	7.683	0.059	2	1	4	1	1	1			722.0	1645.0	740.0	1658.0	766.0	1657.0	759.0	1650.0	741.0	1625.0	5	5	
ER	1	hurt	487.0	1758.0	9.139	9.064	9.215	0.151	94	1	4	1	0	0			518.0	1758.0	494.0	1745.0	487.0	1758.0	513.0	1788.0	526.0	1793.0	7	5	
AW	1	house	755.0	1276.0	11.131	11.067	11.196	0.129	42	3	4	1	0	0			813.0	1379.0	811.0	1338.0	755.0	1276.0	707.0	1160.0	587.0	1107.0	5	5	
AO	1	thought	658.0	2886.0	14.373	14.292	14.454	0.162	53	1	4	1	3	0			644.0	2426.0	618.0	2815.0	658.0	2886.0	728.0	2914.0	702.0	2339.0	3	6	
AW	1	town	719.0	1272.0	16.217	16.115	16.319	0.204	42	4	4	2	3	0			858.0	1393.0	832.0	1370.0	719.0	1272.0	782.0	1169.0	677.0	1151.0	6	6	
AE	1	hat	961.0	1468.0	18.078	18.019	18.136	0.117	3	1	4	1	0	0			869.0	1436.0	935.0	1463.0	961.0	1468.0	895.0	1437.0	834.0	1401.0	6	6	
UH	1	put	617.0	1334.0	19.732	19.685	19.779	0.094	7	1	4	1	1	0			591.0	1154.0	602.0	1188.0	617.0	1334.0	546.0	1446.0	507.0	1507.0	7	6	
IY	1	heat	409.0	2314.0	21.75	21.69	21.81	0.12	11	1	4	1	0	0			474.0	2295.0	435.0	2297.0	409.0	2314.0	430.0	2377.0	504.0	2165.0	4	4	
AH	1	hut	778.0	1291.0	25.445	25.399	25.491	0.092	6	1	4	1	0	0			766.0	1316.0	763.0	1302.0	778.0	1291.0	744.0	1361.0	716.0	1450.0	5	5	
IH	1	hit	590.0	1935.0	29.003	28.967	29.04	0.073	1	1	4	1	0	0			605.0	2022.0	599.0	1967.0	590.0	1935.0	586.0	1910.0	534.0	1852.0	5	5	
AA	1	father	674.0	1214.0	30.761	30.677	30.845	0.168	43	3	3	2	1	1			627.0	1200.0	680.0	1180.0	674.0	1214.0	712.0	1251.0	707.0	1363.0	7	5	
EY	1	hate	428.0	2278.0	32.939	32.867	33.012	0.145	21	1	4	1	0	0			547.0	2212.0	462.0	2280.0	429.0	2300.0	467.0	2371.0	456.0	1918.0	5	4	
AE	1	dance	839.0	1426.0	34.677	34.623	34.732	0.109	3	4	4	2	3	3			661.0	1596.0	811.0	1485.0	839.0	1426.0	876.0	1366.0	785.0	1361.0	5	5	
OW	1	host	472.0	1042.0	36.502	36.438	36.567	0.129	62	3	4	1	0	3			591.0	969.0	500.0	1077.0	471.0	1041.0	425.0	1003.0	438.0	1135.0	6	5	
AA	1	heart	734.0	1232.0	38.304	38.211	38.397	0.186	5	1	4	1	0	0			745.0	1251.0	719.0	1215.0	734.0	1232.0	767.0	1296.0	759.0	1413.0	7	6	
AE	1	after	798.0	1259.0	41.971	41.914	42.027	0.113	3	3	2	1	0	4			792.0	1281.0	876.0	1294.0	798.0	1259.0	790.0	1252.0	759.0	1245.0	5	5	
AH	1	coming	665.0	1356.0	3.397	3.378	3.417	0.039	6	4	1	2	6	1			712.0	1535.0	693.0	1414.0	665.0	1356.0	632.0	1313.0	588.0	1309.0	5	5	
AE	1	sample	833.0	1352.0	3.962	3.908	4.016	0.108	3	4	1	2	3	4			916.0	1569.0	916.0	1471.0	833.0	1352.0	814.0	1467.0	758.0	1730.0	4	5	
AY	1	delights	723.0	1740.0	4.595	4.532	4.658	0.126	47	1	4	1	7	3			572.0	1405.0	744.0	1536.0	745.0	1651.0	673.0	1827.0	574.0	1990.0	7	5	
OW	1	over	483.0	1006.0	5.785	5.738	5.832	0.094	62	3	2	2	0	1			492.0	1066.0	490.0	1049.0	483.0	1006.0	469.0	999.0	511.0	1097.0	6	6	
UW	1	two	456.0	1708.0	6.117	6.08	6.153	0.073	73	0	0	0	3	0			496.0	1763.0	467.0	1490.0	456.0	1708.0	472.0	1693.0	517.0	1685.0	7	4	
