, 55
, M, , , , 

vowel	stress	word	norm_F1	norm_F2	t	beg	end	dur	cd	fm	fp	fv	ps	fs	style	glide	norm_F1@20%	norm_F2@20%	norm_F1@35%	norm_F2@35%	norm_F1@50%	norm_F2@50%	norm_F1@65%	norm_F2@65%	norm_F1@80%	norm_F2@80%	nFormants
AE	1	THAT	868.0	1711.0	1.019	0.968	1.12	0.152	3	1	4	1	3	0			785.0	1796.0	860.0	1718.0	900.0	1665.0	942.0	1623.0	955.0	1666.0	5	
AA	0	COMMA	764.0	1242.0	2.702	2.682	2.741	0.059	5	4	1	2	6	1			759.0	1223.0	759.0	1223.0	766.0	1240.0	733.0	1236.0	730.0	1236.0	6	
AH	0	COMMA	668.0	1401.0	2.91	2.863	3.003	0.14	*	0	0	0	2	0			754.0	1348.0	681.0	1398.0	659.0	1358.0	352.0	1321.0	349.0	1347.0	5	
AA	0	HOT	685.0	1260.0	4.143	4.108	4.213	0.105	5	1	4	1	0	0			680.0	1241.0	686.0	1254.0	708.0	1297.0	753.0	1344.0	736.0	1396.0	6	
UW	1	TOOTH	440.0	1785.0	5.894	5.887	6.023	0.136	73	3	3	1	3	0			440.0	1785.0	441.0	1536.0	426.0	1315.0	412.0	1272.0	355.0	1394.0	5	
EH	1	BETTER	764.0	1865.0	7.644	7.624	7.683	0.059	2	1	4	1	1	1			754.0	1867.0	754.0	1867.0	773.0	1860.0	768.0	1808.0	767.0	1806.0	5	
ER	0	BETTER	614.0	1614.0	7.892	7.849	7.979	0.13	94	0	0	0	3	0			584.0	1688.0	607.0	1631.0	631.0	1569.0	583.0	1554.0	624.0	1608.0	5	
ER	1	HURT	476.0	1978.0	9.114	9.064	9.215	0.151	94	1	4	1	0	0			514.0	1987.0	479.0	1977.0	464.0	1982.0	497.0	2017.0	517.0	2013.0	5	
AW	1	HOUSE	850.0	1535.0	11.074	11.067	11.196	0.129	42	3	4	1	0	0			850.0	1535.0	821.0	1468.0	761.0	1393.0	683.0	1239.0	561.0	1148.0	5	
IH	0	HEAR	557.0	2320.0	12.82	12.734	12.993	0.259	1	0	0	0	0	0			554.0	2323.0	557.0	2322.0	553.0	2249.0	571.0	2119.0	615.0	1997.0	5	
AO	1	THOUGHT	404.0	1059.0	14.346	14.292	14.454	0.162	53	1	4	1	3	0			468.0	1282.0	408.0	1077.0	432.0	1040.0	522.0	1172.0	613.0	1357.0	6	
