./INPUTFILES/ARI_Frederick/, 55, M, , , , 

vowel	stress	word	norm_F1	norm_F2	t	beg	end	dur	cd	fm	fp	fv	ps	fs	style	glide	norm_F1@20%	norm_F2@20%	norm_F1@35%	norm_F2@35%	norm_F1@50%	norm_F2@50%	norm_F1@65%	norm_F2@65%	norm_F1@80%	norm_F2@80%	nFormants	oFormants
AE	1	that	925.0	1603.0	0.307	0.25	0.364	0.114	3	1	4	1	3	0			748.0	1698.0	853.0	1530.0	925.0	1603.0	923.0	1622.0	846.0	1692.0	6	5	
UW	1	tooth	515.0	1078.0	1.423	1.37	1.476	0.106	73	3	3	1	3	0			453.0	1355.0	502.0	1218.0	515.0	1078.0	512.0	1095.0	449.0	1311.0	99	6	
EH	1	better	757.0	1914.0	3.806	3.769	3.844	0.075	2	1	4	1	1	1			590.0	1853.0	710.0	1928.0	757.0	1914.0	754.0	1866.0	652.0	1855.0	99	4	
ER	1	hurt	577.0	1615.0	6.058	5.989	6.127	0.138	94	1	4	1	0	0			564.0	1609.0	570.0	1535.0	577.0	1615.0	613.0	1640.0	585.0	1218.0	99	6	
AW	1	house	768.0	1300.0	7.67	7.579	7.762	0.183	42	3	4	1	0	0			815.0	1398.0	830.0	1414.0	768.0	1300.0	638.0	1224.0	575.0	1134.0	5	5	
AW	1	town	829.0	1410.0	10.593	10.521	10.665	0.144	42	4	4	2	3	0			735.0	1205.0	800.0	1469.0	830.0	1410.0	760.0	1255.0	688.0	1158.0	7	5	
AE	1	hat	956.0	1671.0	15.78	15.743	15.816	0.073	3	1	4	1	0	0			935.0	1766.0	961.0	1667.0	956.0	1671.0	887.0	1656.0	806.0	1761.0	5	5	
AO	1	thought	616.0	1042.0	19.334	19.254	19.413	0.159	53	1	4	1	3	0			577.0	1191.0	602.0	1101.0	615.0	1042.0	602.0	1128.0	629.0	1312.0	99	6	
UH	1	put	647.0	1333.0	22.293	22.268	22.317	0.049	7	1	4	1	1	0			550.0	1099.0	601.0	1222.0	647.0	1333.0	596.0	1576.0	572.0	1586.0	99	6	
IY	1	heat	506.0	2434.0	27.366	27.324	27.408	0.084	11	1	4	1	0	0			353.0	2271.0	523.0	2394.0	506.0	2434.0	477.0	1502.0	396.0	1444.0	6	5	
