 , , male, , , , 																															
																															
vowel	stress	word	F1	F2	F3	B1	B2	B3	t	beg	end	dur	cd	fm	fp	fv	ps	fs	style	glide	F1@20%	F2@20%	F1@35%	F2@35%	F1@50%	F2@50%	F1@65%	F2@65%	F1@80%	F2@80%	nFormants
AH	1	coming	622.2	1414.5	3041.2	104	369.3	1042.8	4.037	4.011	4.063	0.052	6	4	1	2	6	1			567.3	1468.4	596.1	1460.7	622.2	1414.5	624	1318.7	602.2	1240.6	4
AE	1	sample	707.1	1187.9	1935.1	67.3	75	1666.3	4.563	4.503	4.623	0.12	3	4	1	2	3	4			624	1205.5	667.6	1204.7	707.1	1187.9	716.4	1155.8	704.1	1109	6
AY	1	delights	591.4	1650	2150.5	53.4	130.1	235.9	5.226	5.171	5.28	0.109	47	1	4	1	7	3		m	659.1	1528.8	645.9	1596.1	591.4	1650	525.3	1684.4	465.4	1737.6	5
OW	1	over	375.5	636.7	2358.4	56.4	51.8	357.5	6.461	6.39	6.531	0.141	62	3	2	2	0	1			367.6	625.4	374.3	633	375.5	636.7	377.4	646.6	380.6	656.3	6
UW	1	two	369.5	691.3	2316.9	101.5	84.6	630	7.245	7.09	7.4	0.31	73	1	0	1	3	0			370.6	739.6	363	703	369.5	691.3	386.1	600.4	403	603.3	6
AH	1	hundred	644.6	1457.2	2993.7	123.9	156.3	767.1	7.605	7.569	7.641	0.072	6	4	4	2	0	4			736.8	1411.4	668.8	1385.4	644.6	1457.2	628	1503.9	591.9	1529	4
AE	1	bath	750.5	1218.8	2095.2	64.8	114.5	1768.2	9.274	9.199	9.349	0.15	3	3	3	1	1	0			714.9	1196.8	741.7	1225.5	750.5	1218.8	741	1225.1	710.6	1244.2	6
OW	1	hotel	405.2	776.1	2404.1	81.8	45.8	434.9	9.543	9.502	9.583	0.081	62	1	4	1	0	1			390	897.8	382.5	744.2	405.2	776.1	439.9	888.9	449	1024.6	6
AY	1	island	630.7	1573.6	2068	36	115	2277.5	10.317	10.237	10.396	0.159	41	5	4	2	0	1		s	737.8	1348.4	697.7	1453.9	630.7	1573.6	563	1671.2	496.1	1680.3	6
ER	1	first	425.8	1100.6	2685.3	109.1	124.8	264.3	11.447	11.383	11.51	0.127	94	3	4	1	1	3			433.5	939.5	429.5	1020	425.4	1097.2	447.5	1154.1	454.4	1180.1	5
OW	1	opened	411.1	705	2471.4	49.9	26.6	263.9	11.682	11.649	11.714	0.065	62	1	1	1	0	1			423.2	758.9	421	725.5	411.1	705	400.1	695.2	397.5	719.1	6
EH	1	seven	563.6	1509.1	3601.2	103.8	297.2	341.9	12.281	12.25	12.312	0.062	2	3	2	2	3	1			510	1685.7	537.3	1591.1	563.6	1509.1	587.8	1480.5	588	1448	4
IY	1	teen	350.1	2256.2	3700.4	92.4	276	240.1	12.661	12.611	12.71	0.099	11	4	4	2	3	0			335.7	2494.2	353.5	2317.3	350.1	2256.2	352.3	2408.3	381.5	2422.9	4
EH	1	seventy	519.1	1422	2190.2	54.5	113	695.5	12.931	12.903	12.958	0.055	2	3	2	2	3	2			490	1414.6	507.6	1419.6	519.1	1422	523.3	1395.4	515.8	1354.7	5
EY	1	eight	360.3	2106.1	3549.8	126.9	135.6	562.1	13.272	13.211	13.333	0.122	21	1	4	1	0	0			359.2	2257.4	355.4	2126.7	360.3	2106.1	390	2077.1	381.6	1983.8	4
AY	1	nearby	605.3	1639	2607.4	135.7	177.6	1549.4	14.463	14.401	14.525	0.124	41	1	0	1	1	0		m	635.5	1439.7	654.2	1587.8	605.3	1639	568.3	1614.9	570.5	1535.7	4
IY	1	being	298.1	2179	3460.2	105.3	343.2	292.9	15.342	15.3	15.383	0.083	11	0	0	0	1	1			292.7	2079.1	292.7	2128.6	298.1	2179	324.9	2156.8	366.2	2113.7	4
EY	1	main	425.5	2088.4	3333.7	99.5	84.1	439	16.454	16.399	16.509	0.11	21	4	4	2	2	0			419.5	2054.1	418.4	2076.8	425.5	2088.4	435.8	2069.4	451.5	1962.1	4
IH	1	visitors	425.6	2034	3575.6	64.5	402.2	698.9	17.741	17.719	17.762	0.043	1	3	4	2	1	2			428.2	1931.2	427.8	1960.8	425.6	2034	420.6	2063	418	2042.6	4
EY	1	late	417.5	2054	2852.3	131.7	85.5	945.2	19.423	19.375	19.47	0.095	21	1	4	1	7	0			408.5	1998.3	416.8	2041.5	417.5	2054	426.3	2045.9	429.3	2006.8	4
AY	1	nineteenth	572.6	1748	2233.2	139	197.9	445.7	19.707	19.642	19.771	0.129	41	4	4	2	4	4		s	649.6	1560.8	633.8	1663.2	572.6	1748	541.1	1838.4	510.1	1911.3	5
IY	1	nineteenth	380.8	2060.8	2791.5	312.9	138.6	1532.7	19.899	19.87	19.927	0.057	11	4	4	2	3	3			358.9	2109.3	371.4	2110.6	380.8	2060.8	385.1	1971.8	388.6	1882.8	4
EH	1	century	522.5	1575.8	2255	45.6	79.8	468.9	20.112	20.077	20.147	0.07	2	4	4	2	3	5			467.9	1523.2	497.5	1555.8	522.5	1575.8	550.6	1568.3	566.2	1552.6	5
EH	2	destination	482.9	1659.4	2415.8	79.2	120.5	888	22.302	22.27	22.334	0.064	2	3	4	1	3	5			443.7	1681.5	460.5	1677.7	482.9	1659.4	511.1	1635.4	544.2	1660.9	4
EY	1	destination	455.7	1885.5	2305.6	73.6	180.4	217.2	22.595	22.555	22.634	0.079	21	3	5	1	4	1			484.9	1832.1	476	1875.8	455.7	1885.5	430.5	1867.7	400.7	1864.5	6
OW	1	those	424.1	853.2	2500.7	134.2	156.2	277.3	24.423	24.331	24.514	0.183	62	3	4	2	3	0			401.4	1068.2	409.9	925.5	424.1	853.2	423.2	874	429.3	993.3	5
AY	1	time	784.2	1589.9	2413.7	313.2	143.8	530.5	25.112	24.999	25.225	0.226	41	4	1	2	3	0			869.2	1480.6	859.8	1437.5	784.2	1589.9	717.6	1821.7	634	1909.9	4
EY	1	make	419.6	1909.1	3151.4	59.6	89.6	673	25.657	25.632	25.681	0.049	21	1	6	1	2	0			431.7	1840.1	428.1	1881.7	419.6	1909.1	409.2	1931.4	405.5	1954.8	4
ER	1	journey	484.2	1538.5	2233.6	62.3	94.1	270.5	25.997	25.944	26.05	0.106	94	4	4	2	5	1			397.1	1621.5	446	1557.7	484.2	1538.5	500.4	1568.8	502.6	1595.5	5
AW	2	however	503.8	851.7	2302.2	39	39.2	118.7	27.119	27.051	27.187	0.136	42	0	0	0	0	2			610.7	1013.8	560.2	937	503.8	851.7	441.6	795	443	820.3	6
EH	1	however	564.5	1165.3	3119.1	66.7	106	633.6	27.226	27.187	27.265	0.078	2	3	2	2	0	1			551.5	1121.8	561.1	1166.4	564.5	1165.3	554.5	1123.9	537.4	1070.8	4
AE	1	advent	762.1	1275.1	2100.3	40.7	83.2	843.6	29.113	29.071	29.155	0.084	3	1	4	2	0	4			795.8	1289.1	784	1283.2	762.1	1275.1	736.4	1272.6	683.5	1266.4	6
