 , , male, , , , 

vowel	stress	word	norm_F1	norm_F2	t	beg	end	dur	cd	fm	fp	fv	ps	fs	style	glide	norm_F1@20%	norm_F2@20%	norm_F1@35%	norm_F2@35%	norm_F1@50%	norm_F2@50%	norm_F1@65%	norm_F2@65%	norm_F1@80%	norm_F2@80%	nFormants
AH	1	coming	771.0	1638.0	4.037	4.011	4.063	0.052	6	4	1	2	6	1			710.0	1691.0	742.0	1684.0	771.0	1638.0	773.0	1543.0	749.0	1466.0	4	
AE	1	sample	867.0	1413.0	4.563	4.503	4.623	0.12	3	4	1	2	3	4			773.0	1431.0	822.0	1430.0	867.0	1414.0	877.0	1382.0	864.0	1335.0	6	
AY	1	delights	737.0	1871.0	5.226	5.171	5.28	0.109	47	1	4	1	7	3		m	813.0	1751.0	798.0	1818.0	737.0	1871.0	662.0	1906.0	595.0	1958.0	5	
OW	1	over	494.0	867.0	6.461	6.39	6.531	0.141	62	3	2	2	0	1			485.0	856.0	492.0	864.0	494.0	867.0	496.0	877.0	499.0	887.0	6	
UW	1	two	487.0	921.0	7.245	7.09	7.4	0.31	73	0	0	0	3	0			488.0	969.0	480.0	933.0	487.0	921.0	506.0	831.0	525.0	834.0	6	
AH	1	hundred	797.0	1680.0	7.605	7.569	7.641	0.072	6	4	4	2	0	4			900.0	1635.0	824.0	1609.0	797.0	1680.0	778.0	1727.0	737.0	1752.0	4	
AE	1	bath	916.0	1444.0	9.274	9.199	9.349	0.15	3	3	3	1	1	0			876.0	1422.0	906.0	1451.0	916.0	1444.0	905.0	1450.0	871.0	1469.0	6	
OW	1	hotel	527.0	1005.0	9.543	9.502	9.583	0.081	62	1	4	1	0	1			510.0	1126.0	502.0	974.0	527.0	1005.0	566.0	1117.0	576.0	1252.0	6	
AY	1	island	781.0	1796.0	10.317	10.237	10.396	0.159	41	5	4	2	0	1		s	902.0	1573.0	856.0	1677.0	781.0	1796.0	705.0	1892.0	629.0	1901.0	6	
ER	1	first	550.0	1327.0	11.447	11.383	11.51	0.127	94	3	4	1	1	3			559.0	1167.0	554.0	1247.0	550.0	1324.0	575.0	1380.0	583.0	1406.0	5	
OW	1	opened	534.0	935.0	11.682	11.649	11.714	0.065	62	1	1	1	0	1			547.0	988.0	545.0	955.0	534.0	935.0	521.0	925.0	518.0	949.0	6	
EH	1	seven	705.0	1732.0	12.281	12.25	12.312	0.062	2	3	2	2	3	1			645.0	1907.0	676.0	1813.0	705.0	1732.0	733.0	1703.0	733.0	1671.0	4	
IY	1	teen	465.0	2472.0	12.661	12.611	12.71	0.099	11	4	4	2	3	0			449.0	2708.0	469.0	2533.0	465.0	2472.0	468.0	2623.0	501.0	2637.0	4	
EH	1	seventy	655.0	1645.0	12.931	12.903	12.958	0.055	2	3	2	2	3	2			623.0	1638.0	642.0	1643.0	655.0	1646.0	660.0	1619.0	652.0	1579.0	5	
EY	1	eight	477.0	2323.0	13.272	13.211	13.333	0.122	21	1	4	1	0	0			475.0	2473.0	471.0	2344.0	477.0	2324.0	510.0	2295.0	501.0	2202.0	4	
AY	1	nearby	752.0	1861.0	14.463	14.401	14.525	0.124	41	0	0	0	1	0		m	786.0	1663.0	807.0	1810.0	752.0	1861.0	711.0	1837.0	713.0	1758.0	4	
IY	1	being	407.0	2396.0	15.342	15.3	15.383	0.083	11	0	0	0	1	1			401.0	2297.0	401.0	2346.0	407.0	2396.0	437.0	2374.0	483.0	2331.0	4	
EY	1	main	550.0	2306.0	16.454	16.399	16.509	0.11	21	4	4	2	2	0			543.0	2272.0	542.0	2294.0	550.0	2306.0	562.0	2287.0	579.0	2181.0	4	
IH	1	visitors	550.0	2252.0	17.741	17.719	17.762	0.043	1	3	4	2	1	2			553.0	2150.0	553.0	2180.0	550.0	2252.0	544.0	2281.0	542.0	2261.0	4	
EY	1	late	541.0	2272.0	19.423	19.375	19.47	0.095	21	1	4	1	7	0			531.0	2217.0	540.0	2259.0	541.0	2272.0	551.0	2264.0	554.0	2225.0	4	
AY	1	nineteenth	716.0	1969.0	19.707	19.642	19.771	0.129	41	4	4	2	4	4		s	802.0	1783.0	784.0	1885.0	716.0	1969.0	680.0	2058.0	645.0	2130.0	5	
IY	1	nineteenth	500.0	2279.0	19.899	19.87	19.927	0.057	11	4	4	2	3	3			475.0	2327.0	489.0	2328.0	500.0	2279.0	505.0	2190.0	508.0	2102.0	4	
EH	1	century	659.0	1798.0	20.112	20.077	20.147	0.07	2	4	4	2	3	5			598.0	1746.0	631.0	1778.0	659.0	1798.0	691.0	1791.0	708.0	1775.0	5	
EH	2	destination	615.0	1881.0	22.302	22.27	22.334	0.064	2	3	4	1	3	5			570.0	1903.0	589.0	1899.0	615.0	1881.0	646.0	1857.0	684.0	1882.0	4	
EY	1	destination	584.0	2105.0	22.595	22.555	22.634	0.079	21	3	5	1	4	1			617.0	2052.0	607.0	2095.0	584.0	2105.0	556.0	2087.0	522.0	2084.0	6	
OW	1	those	548.0	1082.0	24.423	24.331	24.514	0.183	62	3	4	2	3	0			523.0	1295.0	532.0	1153.0	548.0	1082.0	547.0	1102.0	554.0	1221.0	5	
AY	1	time	954.0	1812.0	25.112	24.999	25.225	0.226	41	4	1	2	3	0			1049.0	1704.0	1039.0	1661.0	954.0	1812.0	879.0	2042.0	785.0	2129.0	4	
EY	1	make	543.0	2128.0	25.657	25.632	25.681	0.049	21	1	6	1	2	0			557.0	2060.0	553.0	2101.0	543.0	2128.0	532.0	2150.0	527.0	2174.0	4	
ER	1	journey	616.0	1761.0	25.997	25.944	26.05	0.106	94	4	4	2	5	1			518.0	1843.0	573.0	1780.0	616.0	1761.0	634.0	1791.0	637.0	1817.0	5	
AW	2	however	638.0	1080.0	27.119	27.051	27.187	0.136	42	0	0	0	0	2			758.0	1241.0	702.0	1165.0	638.0	1080.0	568.0	1024.0	570.0	1049.0	6	
EH	1	however	706.0	1391.0	27.226	27.187	27.265	0.078	2	3	2	2	0	1			692.0	1348.0	703.0	1392.0	706.0	1391.0	695.0	1350.0	676.0	1297.0	4	
