 , , male, , , , 

vowel	stress	word	norm_F1	norm_F2	t	beg	end	dur	cd	fm	fp	fv	ps	fs	style	glide	norm_F1@20%	norm_F2@20%	norm_F1@35%	norm_F2@35%	norm_F1@50%	norm_F2@50%	norm_F1@65%	norm_F2@65%	norm_F1@80%	norm_F2@80%	nFormants
UW	1	tooth	633.0	2101.0	1.423	1.37	1.476	0.106	73	3	3	1	3	0			432.0	1318.0	603.0	1978.0	633.0	2101.0	491.0	1135.0	394.0	1229.0	5	
EH	1	better	687.0	1983.0	3.807	3.769	3.844	0.075	2	1	4	1	1	1			597.0	1986.0	663.0	1994.0	687.0	1983.0	688.0	1960.0	654.0	1927.0	4	
ER	1	hurt	493.0	1696.0	6.058	5.989	6.127	0.138	94	1	4	1	0	0			484.0	1573.0	465.0	1420.0	493.0	1696.0	516.0	1691.0	529.0	1758.0	6	
AW	1	house	677.0	1367.0	7.671	7.579	7.762	0.183	42	3	4	1	0	0			770.0	1494.0	754.0	1422.0	677.0	1367.0	554.0	1311.0	485.0	1254.0	6	
AW	1	town	817.0	1547.0	10.593	10.521	10.665	0.144	42	4	4	2	3	0			722.0	1610.0	798.0	1604.0	817.0	1547.0	781.0	1443.0	739.0	1374.0	5	
AE	1	hat	906.0	1748.0	15.78	15.743	15.816	0.073	3	1	4	1	0	0			914.0	1755.0	921.0	1745.0	906.0	1748.0	873.0	1750.0	832.0	1772.0	5	
AO	1	thought	532.0	1147.0	19.334	19.254	19.413	0.159	53	1	4	1	3	0			517.0	1294.0	517.0	1180.0	532.0	1147.0	534.0	1203.0	558.0	1321.0	6	
UH	1	put	555.0	1452.0	22.293	22.268	22.317	0.049	7	1	4	1	1	0			528.0	1306.0	547.0	1365.0	555.0	1452.0	544.0	1560.0	529.0	1617.0	6	
IY	1	heat	413.0	2499.0	27.366	27.324	27.408	0.084	11	1	4	1	0	0			380.0	2465.0	412.0	2484.0	413.0	2499.0	411.0	2504.0	386.0	2492.0	5	
IH	1	hit	605.0	2263.0	32.886	32.863	32.909	0.046	1	1	4	1	0	0			580.0	2418.0	592.0	2324.0	605.0	2263.0	597.0	2243.0	588.0	2239.0	4	
AH	1	hut	693.0	1520.0	35.338	35.307	35.369	0.062	6	1	4	1	0	0			676.0	1390.0	687.0	1449.0	693.0	1520.0	690.0	1596.0	664.0	1652.0	5	
AA	1	father	735.0	1474.0	37.098	37.017	37.179	0.162	43	3	3	2	1	1			686.0	1398.0	739.0	1444.0	735.0	1474.0	743.0	1491.0	727.0	1493.0	4	
AA	1	father	637.0	1349.0	39.649	39.589	39.709	0.12	43	3	3	2	1	1			603.0	1336.0	636.0	1351.0	637.0	1349.0	636.0	1365.0	612.0	1386.0	5	
EY	1	hate	384.0	2572.0	41.285	41.249	41.32	0.071	21	1	4	1	0	0			388.0	2547.0	385.0	2570.0	384.0	2572.0	385.0	2571.0	372.0	2553.0	4	
AE	1	dance	807.0	1836.0	42.87	42.787	42.953	0.166	3	4	4	2	3	3			788.0	1901.0	799.0	1873.0	807.0	1836.0	779.0	1825.0	763.0	1789.0	5	
AH	1	cut	655.0	1728.0	46.503	46.458	46.547	0.089	6	1	4	1	6	0			606.0	1680.0	645.0	1708.0	655.0	1728.0	667.0	1749.0	665.0	1765.0	4	
AA	1	heart	815.0	1448.0	48.733	48.63	48.836	0.206	5	1	4	1	0	0			779.0	1417.0	798.0	1426.0	815.0	1448.0	821.0	1491.0	821.0	1586.0	5	
OW	1	host	464.0	1082.0	52.583	52.519	52.647	0.128	62	3	4	1	0	3			473.0	1078.0	486.0	1107.0	464.0	1082.0	440.0	1089.0	447.0	1096.0	6	
AE	1	after	842.0	1490.0	53.947	53.876	54.017	0.141	3	3	2	1	0	4			858.0	1502.0	845.0	1494.0	842.0	1490.0	841.0	1498.0	814.0	1483.0	5	
