 , , male, , , , 

vowel	stress	word	F1	F2	F3	B1	B2	B3	t	beg	end	dur	cd	fm	fp	fv	ps	fs	style	glide	F1@20%	F2@20%	F1@35%	F2@35%	F1@50%	F2@50%	F1@65%	F2@65%	F1@80%	F2@80%	nFormants
UW	1	tooth	573.4	1789.8	2967.2	324.7	410.4	537.9	1.423	1.37	1.476	0.106	73	3	3	1	3	0			407.4	933.5	548.4	1655.3	573.4	1789.8	456.4	732.7	375.9	835.5	5	
EH	1	better	618.5	1660.5	2477.2	88.2	112.4	617.2	3.807	3.769	3.844	0.075	2	1	4	1	1	1			543.4	1664.5	598.2	1673.2	618.5	1660.5	619.5	1635.9	591.3	1599.9	4	
ER	1	hurt	457.8	1346.8	2549.3	85.5	80.6	156.7	6.058	5.989	6.127	0.138	94	1	4	1	0	0			449.9	1212.3	434.1	1044.4	457.8	1346.8	476.4	1340.9	487.4	1414.1	6	
AW	1	house	609.8	987.2	2181.2	52.7	74.7	342.7	7.671	7.579	7.762	0.183	42	3	4	1	0	0			687.1	1126.1	673.8	1047.1	609.8	987.2	507.9	925.0	451.4	863.0	6	
AW	1	town	726.0	1183.4	2337.1	112.8	156.2	634.1	10.593	10.521	10.665	0.144	42	4	4	2	3	0			647.5	1252.6	710.4	1246.1	726.0	1183.4	696.3	1069.8	661.3	994.1	5	
AE	1	hat	799.8	1403.8	2170.7	107.7	144.1	312.1	15.78	15.743	15.816	0.073	3	1	4	1	0	0			806.4	1411.5	812.0	1399.9	799.8	1403.8	772.3	1405.5	738.5	1430.4	5	
AO	1	thought	489.7	746.0	2554.4	92.0	64.8	352.6	19.334	19.254	19.413	0.159	53	1	4	1	3	0			477.5	906.5	477.7	782.3	489.7	746.0	491.7	807.5	511.5	936.7	6	
UH	1	put	508.7	1079.7	2308.3	60.2	206.4	355.0	22.293	22.268	22.317	0.049	7	1	4	1	1	0			487.0	920.2	502.3	984.5	508.7	1079.7	499.9	1197.7	487.8	1260.7	6	
IY	1	heat	391.7	2224.8	3103.7	181.6	167.5	298.1	27.366	27.324	27.408	0.084	11	1	4	1	0	0			364.5	2188.1	390.4	2209.4	391.7	2224.8	390.2	2230.3	368.7	2217.5	5	
IH	1	hit	550.2	1966.7	2874.0	88.9	222.8	508.5	32.886	32.863	32.909	0.046	1	1	4	1	0	0			529.3	2136.9	539.4	2033.6	550.2	1966.7	543.9	1944.7	536.1	1941.3	4	
AH	1	hut	623.2	1154.7	1983.2	63.1	181.5	281.3	35.338	35.307	35.369	0.062	6	1	4	1	0	0			609.5	1012.0	618.0	1076.7	623.2	1154.7	620.8	1237.3	599.4	1298.9	5	
AA	1	father	658.4	1103.5	3149.9	54.0	107.7	295.8	37.098	37.017	37.179	0.162	43	3	3	2	1	1			617.9	1020.9	661.2	1071.4	658.4	1103.5	665.1	1122.7	651.6	1124.9	4	
AA	1	father	577.2	966.7	2497.1	66.1	67.0	764.0	39.649	39.589	39.709	0.12	43	3	3	2	1	1			548.8	952.6	576.5	969.3	577.2	966.7	576.2	984.8	556.0	1007.5	5	
EY	1	hate	367.6	2305.1	3201.3	187.8	129.4	571.7	41.285	41.249	41.32	0.071	21	1	4	1	0	0			370.5	2277.4	368.0	2302.6	367.6	2305.1	367.9	2303.7	357.8	2284.8	4	
AE	1	dance	717.5	1499.8	2343.4	120.6	135.0	561.6	42.87	42.787	42.953	0.166	3	4	4	2	3	3			701.9	1571.3	711.0	1540.5	717.5	1499.8	694.4	1488.3	681.2	1448.1	5	
AH	1	cut	591.5	1381.5	3271.7	67.7	272.2	602.7	46.503	46.458	46.547	0.089	6	1	4	1	6	0			551.0	1329.1	583.2	1360.0	591.5	1381.5	602.0	1404.9	600.4	1422.2	4	
AA	1	heart	724.5	1075.9	2344.7	70.9	119.2	263.3	48.733	48.63	48.836	0.206	5	1	4	1	0	0			694.6	1041.3	710.3	1051.5	724.5	1075.9	729.4	1122.3	729.0	1225.9	5	
OW	1	host	433.9	674.8	2482.3	26.4	49.3	308.6	52.583	52.519	52.647	0.128	62	3	4	1	0	3			441.5	670.9	451.8	702.1	433.9	674.8	413.8	682.4	419.8	690.3	6	
AE	1	after	747.0	1121.0	2128.6	49.2	68.6	358.7	53.947	53.876	54.017	0.141	3	3	2	1	0	4			759.6	1134.8	749.1	1126.0	747.0	1121.0	746.2	1129.9	723.2	1114.0	5	
