 , , female, , , , 																															
																															
vowel	stress	word	F1	F2	F3	B1	B2	B3	t	beg	end	dur	cd	fm	fp	fv	ps	fs	style	glide	F1@20%	F2@20%	F1@35%	F2@35%	F1@50%	F2@50%	F1@65%	F2@65%	F1@80%	F2@80%	nFormants
AH	1	coming	717.3	1383.4	2682.9	91.1	222.9	496.6	3.398	3.378	3.417	0.039	6	4	1	2	6	1			733.1	1433.3	730.4	1421.5	717.3	1383.4	701.1	1362.1	693.7	1356.5	5
AE	1	sample	810.4	1307.3	1891.6	75.3	96.6	718.2	3.962	3.908	4.016	0.108	3	4	1	2	3	4			822.5	1408.9	823.3	1365.4	810.4	1307.3	803.1	1286.6	800.3	1261.4	6
AY	1	delights	784.8	1910.1	2669.8	68.3	175.3	414.2	4.595	4.532	4.658	0.126	47	1	4	1	7	3			814.5	1663.9	816.5	1756.6	784.8	1910.1	718.5	2053	630.2	2186.6	5
OW	1	over	505.4	927.6	2157.7	205.5	99.5	1054.1	5.785	5.738	5.832	0.094	62	3	2	2	0	1			512.7	983.6	503.7	950.2	505.4	927.6	504.4	919.3	486.1	928.1	6
UW	1	two	451.5	1261.8	2204.6	51.9	357.2	614.2	6.117	6.08	6.153	0.073	73	1	0	1	3	0			456.6	1394.6	450.9	1291.4	451.2	1258.4	459.9	1310.7	484.4	1381.2	6
AH	1	hundred	792.5	1489	2728	129	504.3	1332.2	6.236	6.21	6.261	0.051	6	4	4	2	0	4			783.9	1458.5	797.3	1473.1	792.5	1489	764.2	1533.6	745.1	1577.2	5
AE	1	bath	850.8	1318.2	2697.1	69.5	126.6	355	7.959	7.87	8.048	0.178	3	3	3	1	1	0			705.8	1270.1	814.6	1279.1	850.8	1318.2	847.6	1322.7	867.9	1310.9	5
AY	1	island	872.8	1652.6	2427.1	157	229	818.9	9.079	8.992	9.165	0.173	41	5	4	2	0	1		s	927.1	1446.6	939.3	1497.3	872.8	1652.6	808.4	1755.8	785.4	1754.6	5
ER	1	first	525	1778.9	2777.1	70.4	249.3	372.9	10.136	10.093	10.178	0.085	94	3	4	1	1	3			509.9	1722	517	1751.6	525	1778.9	520.6	1796.7	507	1801.8	5
OW	1	opened	464.8	924.8	2132.4	166.2	114.5	1008.8	10.37	10.333	10.406	0.073	62	1	1	1	0	1			492.1	1039.8	476.5	973.9	464.8	924.8	454.7	887.9	463.9	829	6
