age	city	ethnicity	first_name	last_name	location	name	sex	state	tiernum	year	years_of_schooling	vowel	stress	pre_word	word	fol_word	F1	F2	F3	B1	B2	B3	t	beg	end	dur	plt_vclass	plt_manner	plt_place	plt_voice	plt_preseg	plt_folseq	style	glide	pre_seg	fol_seg	context	vowel_index	pre_word_trans	word_trans	fol_word_trans	F1@20%	F2@20%	F1@35%	F2@35%	F1@50%	F2@50%	F1@65%	F2@65%	F1@80%	F2@80%	nFormants
f		f	f	f	f	f	f		0	f	f	AE	1	SP	THAT	SP	932.2	1646.8	2650.1	97.8	205.4	308.5	1.019	0.968	1.12	0.152	ae	stop	apical	voiceless	oral_apical				DH	T	internal	2	SP	DH AE1 T	SP	847.0	1743.5	924.0	1656.1	959.9	1580.2	1004.4	1538.2	991.4	1565.6	5
f		f	f	f	f	f	f		0	f	f	AA	0	SP	COMMA	SP	898.2	1156.0	2694.8	195.4	184.1	626.4	2.702	2.682	2.741	0.059	o	nasal	labial	voiced	velar	one_fol_syll			K	M	internal	2	SP	K AA0 M AH0	SP	879.0	1156.0	879.0	1156.0	915.9	1132.9	869.7	1108.8	864.5	1109.1	5
f		f	f	f	f	f	f		0	f	f	AH	0	SP	COMMA	SP	719.9	1280.1	2988.1	189.8	63.6	611.3	2.91	2.863	3.003	0.14	@				nasal_labial				M	SP	final	4	SP	K AA0 M AH0	SP	814.2	1221.2	731.6	1274.8	721.0	1236.2	711.5	1411.1	586.1	1497.6	5
f		f	f	f	f	f	f		0	f	f	AA	0	SP	HOT	SP	759.2	1140.7	2533.6	99.0	119.3	229.0	4.143	4.108	4.213	0.105	o	stop	apical	voiceless					HH	T	internal	2	SP	HH AA0 T	SP	756.3	1127.5	759.5	1131.7	784.3	1189.1	837.6	1262.4	817.8	1319.6	5
f		f	f	f	f	f	f		0	f	f	UW	1	SP	TOOTH	SP	505.2	1727.6	2552.7	96.6	144.8	179.9	5.894	5.887	6.023	0.136	Tuw	fricative	interdental	voiceless	oral_apical				T	TH	internal	2	SP	T UW1 TH	SP	505.2	1727.6	512.3	1468.5	469.0	1140.2	464.5	1137.6	370.8	1136.1	6
f		f	f	f	f	f	f		0	f	f	EH	1	SP	BETTER	SP	818.7	1803.2	2673.3	85.1	277.8	292.3	7.644	7.624	7.683	0.059	e	stop	apical	voiceless	oral_labial	one_fol_syll			B	T	internal	2	SP	B EH1 T ER0	SP	807.1	1799.7	807.1	1799.7	828.5	1803.1	824.5	1775.2	823.4	1773.7	5
f		f	f	f	f	f	f		0	f	f	ER	0	SP	BETTER	SP	665.5	1515.0	2774.9	49.4	131.9	210.7	7.892	7.849	7.979	0.13	*hr				oral_apical				T	SP	final	4	SP	B EH1 T ER0	SP	632.5	1598.5	657.9	1532.6	680.9	1455.3	626.6	1421.1	649.7	1400.7	5
f		f	f	f	f	f	f		0	f	f	ER	1	SP	HURT	SP	517.0	1925.4	2477.0	86.8	104.6	257.5	9.114	9.064	9.215	0.151	*hr	stop	apical	voiceless					HH	T	internal	2	SP	HH ER1 T	SP	547.5	1930.5	519.2	1923.6	512.3	1941.8	548.2	1981.1	567.4	1979.8	5
f		f	f	f	f	f	f		0	f	f	AW	1	SP	HOUSE	SP	899.6	1420.4	2364.6	144.2	194.0	464.5	11.074	11.067	11.196	0.129	aw	fricative	apical	voiceless					HH	S	internal	2	SP	HH AW1 S	SP	899.6	1420.4	886.4	1366.5	825.4	1282.4	753.9	1105.5	635.3	1005.6	5
f		f	f	f	f	f	f		0	f	f	IH	0	SP	HEAR	SP	621.9	2470.5	3116.3	163.0	208.7	400.9	12.82	12.734	12.993	0.259	i								HH	SP	final	2	SP	HH IH0	SP	612.0	2440.2	622.1	2473.9	612.0	2341.8	639.8	2272.0	698.5	2095.2	4
