f, f, f, f, f, f, f

vowel	stress	word	norm_F1	norm_F2	t	beg	end	dur	cd	fm	fp	fv	ps	fs	style	glide	norm_F1@20%	norm_F2@20%	norm_F1@35%	norm_F2@35%	norm_F1@50%	norm_F2@50%	norm_F1@65%	norm_F2@65%	norm_F1@80%	norm_F2@80%	nFormants
AE	1	THAT	857.0	1710.0	1.019	0.968	1.12	0.152	3	1	4	1	3	0			775.0	1793.0	849.0	1718.0	883.0	1652.0	926.0	1616.0	913.0	1640.0	5	
AA	0	COMMA	824.0	1286.0	2.702	2.682	2.741	0.059	5	4	1	2	6	1			806.0	1286.0	806.0	1286.0	841.0	1266.0	797.0	1245.0	792.0	1245.0	5	
AH	0	COMMA	653.0	1393.0	2.91	2.863	3.003	0.14	*	0	0	0	2	0			743.0	1342.0	664.0	1388.0	654.0	1355.0	645.0	1506.0	525.0	1581.0	5	
AA	0	HOT	691.0	1273.0	4.143	4.108	4.213	0.105	5	1	4	1	0	0			688.0	1261.0	691.0	1265.0	715.0	1314.0	766.0	1378.0	747.0	1427.0	5	
UW	1	TOOTH	447.0	1779.0	5.894	5.887	6.023	0.136	73	3	3	1	3	0			447.0	1779.0	454.0	1556.0	412.0	1272.0	408.0	1270.0	318.0	1269.0	6	
EH	1	BETTER	748.0	1845.0	7.644	7.624	7.683	0.059	2	1	4	1	1	1			737.0	1842.0	737.0	1842.0	757.0	1845.0	753.0	1821.0	752.0	1819.0	5	
ER	0	BETTER	601.0	1596.0	7.892	7.849	7.979	0.13	94	0	0	0	3	0			569.0	1668.0	594.0	1611.0	616.0	1544.0	564.0	1515.0	586.0	1497.0	5	
ER	1	HURT	458.0	1950.0	9.114	9.064	9.215	0.151	94	1	4	1	0	0			488.0	1955.0	461.0	1949.0	454.0	1964.0	488.0	1998.0	507.0	1997.0	5	
AW	1	HOUSE	825.0	1514.0	11.074	11.067	11.196	0.129	42	3	4	1	0	0			825.0	1514.0	813.0	1468.0	754.0	1395.0	686.0	1242.0	572.0	1156.0	5	
IH	0	HEAR	559.0	2421.0	12.82	12.734	12.993	0.259	1	0	0	0	0	0			550.0	2395.0	559.0	2424.0	550.0	2310.0	576.0	2250.0	633.0	2097.0	4	
AO	1	THOUGHT	418.0	1075.0	14.346	14.292	14.454	0.162	53	1	4	1	3	0			469.0	1271.0	424.0	1099.0	448.0	1049.0	527.0	1182.0	611.0	1427.0	6	
AW	1	TOWN	846.0	1529.0	16.139	16.115	16.319	0.204	42	4	4	2	3	0			851.0	1533.0	839.0	1511.0	723.0	1403.0	787.0	1296.0	672.0	1264.0	6	
AE	1	HAT	962.0	1614.0	18.058	18.019	18.136	0.117	3	1	4	1	0	0			894.0	1576.0	953.0	1614.0	986.0	1619.0	930.0	1600.0	865.0	1565.0	6	
UH	1	PUT	585.0	1343.0	19.716	19.685	19.779	0.094	7	1	4	1	1	0			560.0	1246.0	578.0	1302.0	583.0	1443.0	527.0	1600.0	500.0	1669.0	5	
IY	1	HEAT	464.0	2586.0	21.73	21.69	21.81	0.12	11	1	4	1	0	0			449.0	2449.0	464.0	2567.0	422.0	2461.0	398.0	1726.0	426.0	1549.0	5	
EH	0	QUESTION	713.0	1641.0	23.494	23.474	23.534	0.06	2	3	4	1	9	4			699.0	1589.0	701.0	1596.0	729.0	1703.0	724.0	1775.0	723.0	1781.0	5	
AH	0	QUESTION	567.0	1730.0	23.807	23.784	23.854	0.07	*	4	4	2	5	0			557.0	1736.0	563.0	1731.0	569.0	1721.0	559.0	1705.0	552.0	1705.0	5	
AH	1	HUT	762.0	1407.0	25.43	25.399	25.491	0.092	6	1	4	1	0	0			768.0	1445.0	762.0	1421.0	768.0	1408.0	745.0	1494.0	727.0	1556.0	5	
IY	0	THREE	422.0	2319.0	27.379	27.342	27.453	0.111	12	0	0	0	8	0			401.0	2224.0	417.0	2257.0	425.0	2424.0	406.0	2396.0	379.0	2388.0	4	
IH	1	HIT	572.0	2196.0	28.991	28.967	29.04	0.073	1	1	4	1	0	0			570.0	2234.0	569.0	2215.0	570.0	2176.0	554.0	2138.0	540.0	2115.0	5	
AA	1	FATHER	680.0	1302.0	30.733	30.677	30.845	0.168	43	3	3	2	1	1			625.0	1289.0	679.0	1303.0	683.0	1331.0	704.0	1372.0	692.0	1493.0	6	
ER	0	FATHER	597.0	1609.0	30.981	30.954	31.034	0.08	94	0	0	0	3	0			594.0	1624.0	596.0	1615.0	597.0	1583.0	587.0	1516.0	595.0	1485.0	5	
EY	1	HATE	521.0	2506.0	32.88	32.867	33.012	0.145	21	1	4	1	0	0			518.0	2509.0	424.0	2584.0	393.0	2620.0	422.0	2689.0	410.0	2109.0	5	
AE	1	DANCE	828.0	1628.0	34.659	34.623	34.732	0.109	3	4	4	2	3	3			694.0	1752.0	811.0	1650.0	827.0	1567.0	854.0	1517.0	814.0	1503.0	5	
OW	1	HOST	556.0	1237.0	36.445	36.438	36.567	0.129	62	3	4	1	0	3			556.0	1237.0	478.0	1178.0	435.0	1124.0	421.0	1135.0	425.0	1294.0	5	
AA	1	HEART	711.0	1322.0	38.273	38.211	38.397	0.186	5	1	4	1	0	0			724.0	1336.0	708.0	1320.0	724.0	1346.0	764.0	1425.0	762.0	1565.0	6	
EH	0	HAIR	553.0	2412.0	40.37	40.257	40.596	0.339	2	0	0	0	0	0			564.0	2478.0	553.0	2413.0	558.0	2387.0	611.0	2232.0	666.0	2065.0	4	
AE	1	AFTER	845.0	1402.0	41.952	41.914	42.027	0.113	3	3	2	1	0	4			806.0	1400.0	853.0	1406.0	803.0	1381.0	783.0	1375.0	762.0	1369.0	5	
ER	0	AFTER	585.0	1675.0	42.301	42.274	42.354	0.08	94	0	0	0	3	0			545.0	1705.0	567.0	1691.0	612.0	1625.0	635.0	1522.0	666.0	1537.0	6	
