overall.token.number	speaker.id	t.or.s	wl.or.rp	nationality	countrybirth.t	ethnicity	school	form.s	education.t	interview.1(liveadabroad)	interview.2(durationabroad)	interview3(attitudes.etc)	lexical set	mono.or.di	age	city	ethnicity	first_name	last_name	location	name	sex	state	tiernum	year	years_of_schooling	vowel	stress	pre_word	word	fol_word	F1	F2	F3	B1	B2	B3	t	beg	end	dur	plt_vclass	plt_manner	plt_place	plt_voice	plt_preseg	plt_folseq	style	glide	pre_seg	fol_seg	context	vowel_index	pre_word_trans	word_trans	fol_word_trans	F1@20%	F2@20%	F1@35%	F2@35%	F1@50%	F2@50%	F1@65%	F2@65%	F1@80%	F2@80%	F*1_normalized	F*2_normalized	F*1gl_normalized	F*2gl_normalized	euclid.onset.glide.norm	euclid.dist.token.to.mean.onset	euclid.dist.token.to.mean.glide	nFormants	oFormants		poles	bandwidths	man.check	nFormants.man	reliabel	besser.als.default	comment	pot.exclusion.nachIQR	pot.exclusion.numeric	pot.exclusion.nachEuclidtoMeanperVowel	pot.exclusion.both.euclid.visual
1050	8	t	WL	TT	Trinidad	AT	ARI			no	0		BATH	m	46						./INPUTFILES/Teachers/ARI_Frederick/	M		0			AE	1	sp	dance	sp	758.6	1552.1	2489.8	205.5	152.9	289.1	42.87	42.787	42.953	0.166	ae	nasal	apical	voiced	oral_apical	complex_coda			D	N	internal	2	SP	D AE1 N S	SP	710.251	1593.5102	716.1645	1551.9997	757.0214	1551.0347	728.0483	1546.8524	745.4891	1521.3411	619.463	1501.685				243.3905785235		4	5	[1000.6174112154524, 1641.4424779460737, 2765.3210512168207],[757.0214477472515, 1551.0346658691005, 2485.917342066332, 3740.4333009877028],[718.0145847791675, 1498.6695910082146, 2279.7556443767994, 2650.1942858760904, 3980.43505830548],[705.598491471749, 1405.1006188835897, 1526.2649344502238, 2401.110921984602, 3068.0800180281817, 4143.50294404244]	[848.7108071148419, 711.8734157993765, 945.6623387512975],[200.8207913898619, 149.91764269782513, 286.39245377080215, 883.3771847955265],[117.54977213315533, 140.3041073651557, 741.0500596529047, 665.9560334117527, 680.938388487757],[127.85657466191509, 1207.008113618891, 177.08356948051272, 289.1727029526315, 541.9338622503703, 362.1501939571902]			5	2	2		outlier_but_inWL	1	1	1
976	7	t	RP	TT	England	IT	ARI			yes	>6		BATH	m	36						./INPUTFILES/Teachers/ARI_Dass/	F		0			AE	1	sp	dance	sp	1026.6	1563.8	2418.2	347.6	265	657.2	56.678	56.613	56.744	0.131	ae	nasal	apical	voiced	oral_apical	complex_coda			D	N	internal	2	SP	D AE1 N S	SP	861.7719	1269.2727	924.2824	1496.5112	904.8645	1449.4381	846.7943	1442.4556	736.4567	1441.6239	652.027	1291.854				77.2306998868		6	6	[1393.1735985933842, 2258.568564936968, 3316.305225400138],[1221.3375291236505, 1689.7243367743392, 2885.142279101224, 4326.785028646007],[1030.0721009753734, 1557.2140279033677, 2401.7440684127478, 3235.8538534910576, 4647.463673006828],[904.8644939277602, 1449.4380526943723, 1903.6632832383834, 2727.2814577492945, 3539.3714057003344, 4783.273039675769]	[284.3960895149524, 1315.2749179941045, 1865.704727576595],[407.9114698101807, 499.35664904329457, 667.2507495225204, 1679.4761491179336],[350.2737104606474, 245.52110887663406, 655.152150117734, 664.1866639949695, 973.8599392959726],[331.0023994962348, 254.79095692074728, 528.0441651764575, 395.4238396051117, 424.4860573350656, 377.0248051637758]			5	4	3	vocal fry	vocal_fry	3	44	44
1438	10	t	RP	TT	Trinidad	MT	BLA			no	0		BATH	m	26						./INPUTFILES/Teachers/BLA_Bartholomew/	F		0			AE	1	sp	dance	sp	1086.5	1659.9	4062.1	245.8	159.6	258.2	83.928	83.848	84.008	0.16	ae	nasal	apical	voiced	oral_apical	complex_coda			D	N	internal	2	SP	D AE1 N S	SP	948.424	1773.0055	1008.2722	1710.881	1086.5024	1659.8731	1037.8026	1671.5097	985.1806	1752.1172	597.128	1330.618				71.1124432712		3	3	[1086.5023725046824, 1659.8730937770263, 4062.1357717436895],[1062.0337980049587, 1652.0805787059428, 3946.5830006436313],[1086.1620571450003, 1654.410081439721, 3189.3994857061484, 4004.6215874319323],[696.2238321859019, 1126.6875733308061, 1666.5945755627047, 3069.0596203455148, 3987.190660379827, 4969.294702771983]	[245.81032503783433, 159.62698032596413, 258.24943908214107],[148.79804793644087, 88.61252453535067, 266.19653948903914],[90.47286815773283, 49.79780007970392, 1345.2027486121262, 243.32757820351316],[664.0731790525097, 115.31244444863977, 34.02250043971224, 529.7316184289307, 138.79678236722802, 811.1617984018689]			3	2	2	vocal fry	vocal_fry	3	44	44
19	1	s	WL	TT	Trinidad	MT	BLA						BATH	m	17						./INPUTFILES/Students/BLA_1_Michala/	F		0			AE	1	sp	dance	sp	1070.7	1700.1	2366.8	216.5	240.6	1212.2	33.544	33.393	33.695	0.302	ae	nasal	apical	voiced	oral_apical	complex_coda			D	N	internal	2	SP	D AE1 N S	SP	1005	1673	1106.3411	1822.4423	1146.444	1781.8248	1115.9266	1811.9534	955	1674	597.785	1334.27				74.8187271009		3	5	[1146.4440471442424, 1781.8247899702822, 3683.167896134028],[1069.7442490387552, 1697.8076837042959, 2364.2025668098645, 4219.631858000685],[1010.4926964032802, 1602.643011129373, 2122.8833631098787, 3798.0265609106145],[975.0099263535143, 1517.5235838064618, 1664.7037004559993, 2311.204145343536, 3780.571886422528, 5030.360163976354]	[251.37331001317497, 239.05601157853692, 1783.3245850120445],[216.04997218445104, 241.72331509587076, 1199.7241688904414, 1095.8688963959878],[169.1502842272825, 226.6754911863151, 503.41598260316795, 686.788233410736],[211.19643644427495, 815.8014374121019, 388.83280853842473, 688.7293016658388, 486.0092301247776, 1260.2070230588945]			4	4	1			99	99	99
22	1	s	WL	TT	Trinidad	MT	BLA						BATH	m	17						./INPUTFILES/Students/BLA_1_Michala/	F		0			AE	1	sp	after	sp	1102.4	1755.3	3395.2	102.8	310	1901.3	37.522	37.424	37.619	0.195	ae	fricative	labiodental	voiceless		complex_one_syl			SP	F	initial	1	SP	AE1 F T ER0	SP	1098	1422	1128.1981	1765.7039	1065.0909	1609.2845	1048.6084	1531.6663	945	1260	614.396	1358.989				103.1759810082		4	4	[1101.5019486267188, 1746.9388977485005, 3414.5172535676775],[1065.0909086679337, 1609.2844812225317, 2456.1814343353203, 4277.086410779013],[1039.9528444747195, 1329.070129684304, 1804.4206033449873, 2914.710527862393, 4548.543200498645],[962.2568982329318, 1227.836727194741, 1786.167461363721, 2790.294792979376, 4373.90736872782, 4952.011278217676]	[105.51933909999676, 326.6430576190001, 1928.8965621180007],[87.92838407246741, 287.53714903861817, 1017.0631246905721, 1786.7607828565692],[142.11641170367596, 544.1539828491005, 350.94203195830335, 479.47565248499814, 460.4760477504432],[157.89149179116603, 191.844468561282, 149.06689928777, 306.50110016161534, 676.2792988373412, 3366.820272245945]			3	3	1			99	99	99
24	1	s	RP	TT	Trinidad	MT	BLA						BATH	m	17						./INPUTFILES/Students/BLA_1_Michala/	F		0			AE	1	to	sample	the	1004.6	1693	3854	89.2	155.5	1268.1	4.831	4.758	4.904	0.146	ae	nasal	labial	voiced	oral_apical	complex_one_syl			S	M	internal	2	T AH0	S AE1 M P AH0 L	DH AH0	929	1241	951.2945	1724.2498	992.2601	1688.3531	1052.118	1657.862	915	1391	563.345	1330.899				71.784292892		4	4	[998.1915621109114, 1691.0710943172235, 3768.247093486795],[992.2600809071088, 1688.3531455857296, 2059.8014721486147, 4025.5487548493975],[930.7657776451653, 1358.7871976725169, 1848.556344004875, 3574.0601584951014, 4443.791196280115],[926.0463301793161, 1334.7459235937197, 1834.912237933402, 2313.1614543804944, 3638.9789971590526, 4562.521588856468]	[80.12420210732479, 147.78531902023022, 1065.057222387644],[91.87342223301185, 206.3345317968468, 2249.1490438492274, 631.6129747068364],[68.47900650306558, 247.62198928135103, 154.02750895620622, 526.270150674821, 784.6754021178564],[73.79411811918565, 278.7075270629429, 178.9471171584254, 2547.2911052770833, 397.5753241801944, 571.9471158096034]			3	2	1			99	99	99
29	1	s	RP	TT	Trinidad	MT	BLA						BATH	m	17						./INPUTFILES/Students/BLA_1_Michala/	F		0			AE	1	the	bath	hotel	1071	1587.5	2992.7	58.3	206.8	1924.6	9.668	9.555	9.78	0.225	ae	stop	apical	voiceless	oral_labial				B	T	internal	2	DH AH0	B AE1 T	HH OW0 T EH0 L	766	1015	996.4552	1558.8587	1072.0609	1585.7864	1130.9069	1621.4065	925	1297	597.973	1283.708				28.0303562767		4	4	[1075.9196158981156, 1600.1028847187233, 3397.0803657191523],[1072.0608971825263, 1585.7864181394466, 2393.89752874929, 3626.849604772992],[1067.8059394104264, 1169.6661157752992, 1685.2293945125414, 3117.156351270323, 4293.038693900303],[948.7539147142877, 1143.1972270122421, 1680.2718925013583, 2952.786864769639, 4110.466186829619, 4288.826094553751]	[53.7088114429086, 191.68277593197416, 1006.30413449569],[56.90806305972963, 219.079615764498, 2803.5565092759653, 1061.9653787439038],[113.29091930144098, 625.1510718101653, 210.1053724528639, 433.3078891624432, 525.7035158576255],[223.99933180243994, 120.7615945267913, 97.25277687203301, 422.27688435186593, 725.8664868647531, 2555.6716503694674]			4	1	1			99	99	99
96	1	s	RP	TT	Trinidad	MT	BLA						BATH	m	17						./INPUTFILES/Students/BLA_1_Michala/	F		0			AE	1	and	dance	sp	1083.7	1794	2713.1	131	162	1092.5	88.066	87.949	88.183	0.234	ae	nasal	apical	voiced	oral_apical	complex_coda			D	N	internal	2	AE1 N D	D AE1 N S	SP	963.4518	1889.3981	1061.7298	1861.1936	1083.6558	1794.0073	1023.894	1828.5472	981.1018	1874.5998	604.636	1376.404				117.4504543712		4	4	[1150.3858786328442, 1879.4549964819466, 3945.7161687607213],[1083.6558057210084, 1794.007262640204, 2713.108127346796, 4100.932825344764],[1028.2370079879097, 1650.1137844204627, 2013.9629186727984, 3438.748800271539, 4231.761734670614],[1010.747339088002, 1539.2283900225302, 1884.808722383464, 2638.2823525305657, 3641.2375290212885, 4285.596553185398]	[201.41257889208813, 186.6222845749561, 398.1573419200982],[130.95415344736494, 161.99180447467833, 1092.5281065673205, 252.04081381680297],[112.36262707563314, 323.99802470962425, 393.82569872150435, 540.6225070012127, 188.91079265533926],[130.17537143600583, 535.7347671314222, 316.80850116403735, 1316.7649509878217, 536.1283166864254, 192.33557346976974]			4	1	1			99	99	99
148	2	s	WL	TT	Trinidad	AT	EDW						BATH	m	16						./INPUTFILES/Students/EDW_5_Shayna/	F		0			AE	1	sp	dance	sp	1094.4	1604.2	2603.7	138.8	214.9	626.8	17.313	17.216	17.41	0.194	ae	nasal	apical	voiced	oral_apical	complex_coda			D	N	internal	2	SP	D AE1 N S	SP	1010.9054	1646.2827	1085.9106	1654.2573	1094.4094	1604.1539	1062.9735	1632.0443	855.9542	1601.7358	619.276	1284.551				44.6954688643		4	4	[1195.6644724244752, 1788.1930344012217, 3286.7220022333972],[1094.409437588807, 1604.1539042758372, 2603.7416528235835, 4313.719589725152],[1110.0084977632475, 1626.6704573258091, 2634.2251018640377, 4281.805325120047],[1080.4695507773963, 1277.165229153591, 1715.8033197968048, 2726.118579768983, 4095.408997265735]	[204.1769279754422, 481.19628522409914, 1650.5412691895328],[138.83367382731564, 214.87829607417152, 626.7764317652625, 1618.7588197088558],[129.021493285213, 191.72733683376364, 495.4312823851245, 1304.6351998773132],[266.4630055645038, 668.8874788173155, 282.08417546088515, 257.37077714130163, 449.9448315184641]			4	1	2			99	99	99
151	2	s	WL	TT	Trinidad	AT	EDW						BATH	m	16						./INPUTFILES/Students/EDW_5_Shayna/	F		0			AE	1	sp	after	sp	1045	1587.6	2105.4	107.3	258.3	1680.3	22.556	22.48	22.632	0.152	ae	fricative	labiodental	voiceless		complex_one_syl			SP	F	initial	1	SP	AE1 F T ER0	SP	1032.5588	1478.338	1004.2107	1557.0951	1045.0195	1587.6048	996.2932	1462.6252	922.3894	1342.7818	597.691	1277.528				23.1943239824		4	3	[1061.8610204396366, 1626.6973542095843, 4474.524144939944],[1045.0195423529133, 1587.6047691884385, 2105.4398752461466, 4570.956290008249],[1038.795432368089, 1345.9368353258556, 1659.6473194066236, 3219.1897086794743, 4670.496558113286],[895.6339608139903, 1142.7709307198227, 1670.542866460642, 2645.7139574651983, 3959.42655023313, 4739.164534945062]	[95.15935200671319, 187.27504607117064, 1616.9410542733624],[107.2652257157424, 258.32609562741584, 1680.3184664723624, 591.7907045170657],[145.03023909815556, 977.715516963478, 313.03580741582323, 1269.6748705566627, 351.8664814732032],[300.6985985124548, 179.2183756496281, 131.10259853448127, 699.7369887560064, 1018.1131749673559, 338.1019892875811]			4	1	1			99	99	99
